Brand,Disc_name,Speed,Glide,Turn,Fade
innova,TL3,8.0,4.0,0.0,1.0
innova,thunderbird,9.0,5.0,0.0,2.0
innova,valkyrie,9.0,4.0,-2.0,2.0
innova,viking,9.0,4.0,-1.0,2.0
innova,viper,6.0,4.0,1.0,5.0
innova,vroc,4.0,4.0,0.0,1.0
innova,vulcan,13.0,5.0,-4.0,2.0
innova,wahoo,12.0,6.0,-2.0,2.0
innova,wedge,3.5,3.0,-3.0,1.0
innova,whale,2.0,3.0,0.0,1.0
innova,whippet,6.0,3.0,1.0,5.0
innova,wolf,4.0,3.0,-4.0,1.0
innova,wombat,5.0,6.0,-1.0,0.0
innova,wombat3,5.0,6.0,-1.0,0.0
innova,wraith,11.0,5.0,-1.0,3.0
innova,xcaliber,12.0,5.0,0.0,4.0
innova,lion,5.0,4.0,0.0,2.0
kastaplast,berg,1.0,1.0,0.0,2.0
kastaplast,falk,9.0,6.0,-2.0,2.0
kastaplast,grym,13.0,5.0,-2.0,2.0
kastaplast,grym x,13.0,5.0,-1.0,2.0
kastaplast,kaxe,6.0,4.0,0.0,3.0
kastaplast,kaxe z,6.0,5.0,0.0,2.0
kastaplast,rask,14.0,3.0,0.0,4.0
kastaplast,reko,3.0,3.0,0.0,1.0
kastaplast,stal,9.0,4.0,0.0,3.0
kestrel outdoors,beginner fairway driver,7.0,6.0,1.0,1.0
kestrel outdoors,beginner mid-range,3.0,3.0,0.0,2.0
kestrel outdoors,beginner putter,1.0,3.0,0.0,1.0
latitude 64,anchor,5.0,4.0,0.0,3.0
latitude 64,ballista,14.0,5.0,-1.0,3.0
latitude 64,ballista pro,14.0,4.0,0.0,3.0
latitude 64,beetle,1.0,7.0,-1.0,0.0
latitude 64,bite,3.0,3.0,0.0,0.0
latitude 64,blitz,12.0,3.0,0.0,4.0
latitude 64,bolt,13.0,6.0,-2.0,3.0
latitude 64,bryce,9.0,6.0,-2.0,2.0
latitude 64,caltrop,2.0,2.0,0.0,2.0
latitude 64,claymore,5.0,5.0,-1.0,1.0
latitude 64,compass,5.0,5.0,0.0,1.0
latitude 64,core,6.0,5.0,-0.5,1.0
latitude 64,culverin,9.0,5.0,-0.5,3.0
latitude 64,cutlass,13.0,5.0,0.0,3.5
latitude 64,dagger,2.0,5.0,0.0,1.0
latitude 64,diamond,8.0,6.0,-3.0,1.0
latitude 64,explorer,7.0,5.0,0.0,2.0
latitude 64,falchion,8.0,5.0,-1.0,2.0
latitude 64,flow,11.0,6.0,-0.5,2.0
latitude 64,fuji,4.0,4.0,0.0,2.0
latitude 64,fury,9.0,6.0,-2.0,2.0
latitude 64,fuse,5.0,6.0,-1.0,0.0
latitude 64,gauntlet,2.0,4.0,0.0,1.0
latitude 64,gladiator,13.0,5.0,0.0,3.5
latitude 64,gobi,6.0,5.0,-0.5,1.0
latitude 64,halo,13.0,5.0,-0.5,3.0
latitude 64,havoc,13.0,5.0,-1.0,3.0
latitude 64,jade,9.0,6.0,-2.0,1.0
latitude 64,knight,14.0,4.0,-1.5,4.0
latitude 64,macana,2.0,5.0,0.0,1.0
latitude 64,mace,5.0,5.0,0.0,2.0
latitude 64,maul,7.0,7.0,-2.0,1.0
latitude 64,mercy,2.0,4.0,0.0,1.0
latitude 64,missilen,15.0,3.0,-0.5,4.5
latitude 64,musket,10.0,5.0,-0.5,2.0
latitude 64,pain,4.0,4.0,0.0,3.0
latitude 64,pearl,4.0,6.0,-4.0,0.0
latitude 64,pioneer,9.0,3.0,0.0,4.0
latitude 64,pure,3.0,3.0,-1.0,1.0
latitude 64,raketen,15.0,4.0,-2.0,3.0
latitude 64,recoil,12.0,4.0,0.0,3.0
latitude 64,river,7.0,7.0,-1.0,1.0
latitude 64,river pro,6.0,5.0,0.0,2.0
latitude 64,ruby,3.0,5.0,-3.0,1.0
latitude 64,saint,9.0,7.0,-2.0,2.0
latitude 64,saint pro,8.0,5.0,-0.5,2.0
latitude 64,sarek,2.0,4.0,0.0,1.5
latitude 64,scythe,12.0,3.0,0.0,4.0
latitude 64,sinus ap,2.0,2.0,0.0,2.0
latitude 64,sinus sp,2.0,2.0,0.0,2.0
latitude 64,spark,7.0,4.0,-0.5,2.0
latitude 64,spike,4.0,3.0,-1.0,1.0
latitude 64,stiletto,13.0,3.0,0.5,5.0
latitude 64,striker,8.0,5.0,0.0,2.0
latitude 64,villain,12.0,4.0,0.0,4.0
latitude 64,vision,8.0,6.0,-1.0,2.0
latitude 64,xxx,7.0,3.0,0.0,4.0
latitude 64,zion,9.0,4.0,-0.5,3.0
legacy discs,aftermath,13.0,5.0,-2.0,3.0
legacy discs,bandit,9.0,5.0,-2.0,1.0
legacy discs,cannon,14.0,5.0,-3.0,3.0
legacy discs,clozer,2.0,3.0,0.0,2.0
legacy discs,clutch,2.0,3.0,0.0,1.0
legacy discs,enemy,9.0,3.0,0.0,4.0
legacy discs,fighter,10.0,3.0,0.0,4.0
legacy discs,gauge,5.0,5.0,0.0,1.0
legacy discs,ghost,4.0,5.0,0.0,3.0
legacy discs,hunter,2.0,4.0,0.0,0.0
legacy discs,mongoose,9.0,5.0,-3.0,1.0
legacy discs,nemesis,10.0,6.0,-4.0,2.0
legacy discs,outlaw,12.0,5.0,-1.0,3.0
legacy discs,patriot,7.0,5.0,-2.0,1.0
legacy discs,phenom,8.0,5.0,-1.0,2.0
legacy discs,prowler,2.0,3.0,0.0,1.5
legacy discs,pursuit,5.0,3.0,0.0,3.0
legacy discs,rampage,14.0,5.0,-1.0,4.0
legacy discs,recluse,4.0,3.0,0.0,4.0
legacy discs,recon,13.0,5.0,-1.0,3.0
legacy discs,rival,7.0,5.0,0.0,2.0
lightning discs,#1 hookshot,6.0,4.0,0.0,3.0
lightning discs,#1 hyzer,7.0,3.0,0.0,4.0
lightning discs,#2 helix,8.0,5.0,-1.0,3.0
lightning discs,#2 hookshot,5.0,5.0,-1.0,3.0
lightning discs,#2 putter,1.0,2.0,-2.0,1.0
lightning discs,#2 roller,6.0,6.0,-2.0,2.0
lightning discs,#2 upshot,1.0,3.0,-2.0,0.0
lightning discs,#3 driver,6.0,5.0,-2.0,3.0
lightning discs,#3 flyer,7.0,4.0,-2.0,2.0
lightning discs,#3 hookshot,4.0,5.0,-1.0,2.0
lightning discs,#4 driver,7.0,4.0,-1.0,2.0
lightning discs,upshot,1.0,3.0,-2.0,0.0
millennium,aquarius,10.0,5.0,-4.0,2.0
millennium,aries,11.0,6.0,-3.0,1.0
millennium,astra,11.0,5.0,-2.0,2.0
millennium,jls,8.0,5.0,-2.0,2.0
hyzer bomb,marksman,9.0,4.0,-1.0,2.0
millennium,aurora,4.0,5.0,-1.0,1.0
hyzer bomb,moab,6.0,4.0,1.0,5.0
hyzer bomb,mortar,5.0,3.0,0.0,3.0
millennium,omega,2.0,3.0,-1.0,1.0
millennium,orion lf,9.0,5.0,-1.0,3.0
millennium,orion ls,9.0,5.0,-2.0,2.0
millennium,polaris lf,9.0,5.0,-2.0,2.5
millennium,polaris ls,8.0,5.0,-2.0,1.0
millennium,quasar,13.0,5.0,-1.0,4.0
millennium,qjls,8.0,5.0,-2.0,2.0
millennium,qms,4.0,5.0,0.0,0.0
millennium,scorpius,13.0,4.0,-1.0,3.0
millennium,sentinel mf,5.0,4.0,0.0,4.0
hyzer bomb,tank - panzer,2.0,2.0,0.0,3.0
millennium,taurus,4.0,4.0,0.0,4.0
hyzer bomb,veteran,7.0,4.0,0.0,1.0
hyzer bomb,sabot,11.0,4.0,0.0,5.0
mint discs,alpha,8.0,4.0,0.0,2.0
mint discs,bobcat,5.0,5.0,0.0,2.0
MVP,amp,8.0,5.0,-1.5,1.0
MVP,anode,2.5,3.0,0.0,0.5
MVP,atom,3.0,3.0,0.0,1.0
MVP,axis,5.0,5.0,-1.0,1.0
MVP,catalyst,13.0,5.5,-2.0,2.0
MVP,deflector,5.0,3.5,0.0,4.0
MVP,dimension,14.5,5.0,0.0,3.0
MVP,energy,13.0,4.0,0.0,4.0
MVP,impulse,9.0,5.0,-3.0,1.0
MVP,inertia,9.0,5.0,-2.0,2.0
MVP,ion,2.5,3.0,0.0,1.5
MVP,limit,14.5,3.5,0.0,4.0
MVP,matrix,5.0,4.0,-1.0,2.0
MVP,motion,9.0,3.5,0.0,4.0
MVP,nitro,13.0,4.0,-0.5,3.0
MVP,octane,13.0,5.0,-1.0,2.0
MVP,orbital,11.0,5.0,-4.5,1.0
MVP,particle,3.0,3.0,0.0,2.5
MVP,phase,11.0,3.5,0.0,4.0
MVP,photon,11.0,5.0,-1.0,2.5
MVP,relativity,14.5,5.5,-3.0,1.5
MVP,relay,6.0,5.0,-2.0,1.0
MVP,resistor,6.5,4.0,0.0,3.5
MVP,servo,6.5,5.0,-1.0,2.0
MVP,shock,8.0,5.0,0.0,2.5
MVP,signal,6.0,5.0,-3.0,1.0
MVP,spin,2.5,4.0,-2.0,0.0
MVP,switch,6.5,5.0,-1.5,1.0
MVP,tangent,4.0,4.0,-0.5,0.5
MVP,teleport,14.5,5.0,-1.5,2.5
MVP,tensor,4.0,4.0,0.0,2.5
MVP,tesla,9.0,5.0,-1.0,2.0
MVP,vector,5.0,4.0,0.0,2.0
MVP,vertex,4.0,4.0,-2.0,0.5
MVP,volt,8.0,5.0,-0.5,2.0
MVP,wave,11.0,5.0,-2.0,2.0
obsidian discs,caldera,12.0,5.0,-1.0,2.0
obsidian discs,cinder,7.0,5.0,0.0,2.0
